player_id,player_name,bat_style,bowl_style,field_pos
6033,GD Phillips,Right hand Bat,Right arm Offbreak,Wicketkeeper
181,RR Pant,Left hand Bat, ,Wicketkeeper
15829,AUK Pathan,Right hand Bat,Right arm Medium, 
5562,Jalaj S Saxena,Right hand Bat,"Right arm Offbreak, Legbreak Googly", 
3230,R Parag,Right hand Bat,Legbreak, 
183,CR Brathwaite,Right hand Bat,Right arm Fast medium, 
4406,AT Carey,Left hand Bat, ,Wicketkeeper
11967,DS Lehmann,Left hand Bat,Slow Left arm Orthodox, 
7134,SS Prabhudessai,Right hand Bat,Right arm Medium, 
10939,N Thushara,Right hand Bat,Right arm Medium fast,Unknown
11068,LB Williams,Left hand Bat,Right arm Medium fast,Unknown
10163,Naman Dhir,Right hand Bat,Right arm Offbreak,Unknown
11376,Gulbadin Naib,Right hand Bat,Right arm Medium fast,Unknown
11781,Aniket Verma,Right hand Bat,Right arm Medium fast,Unknown
10690,Tanush Kotian,Right hand Bat,Right arm Offbreak,Unknown
11847,Priyansh Arya,Left hand Bat,Right arm Offbreak,Unknown
11854,Suryansh Shedge,Right hand Bat,Right arm Medium fast,Unknown
10078,SD Hope,Right hand Bat,Unknown,Wicketkeeper
10160,L Wood,Left hand Bat,Left arm Fast medium,Unknown
10168,G Coetzee,Right hand Bat,Right arm Fast,Unknown
10604,KA Maharaj,Right hand Bat,Slow Left arm Orthodox,Unknown
10630,WG Jacks,Right hand Bat,Right arm Offbreak,Unknown
10667,J Fraser-McGurk,Right hand Bat,Legbreak Googly,Unknown
11805,R Minz,Left hand Bat,Unknown,Slow Left arm Orthodox
10382,SB Dubey,Left hand Bat,Right arm Offbreak,Unknown
10710,S Joseph,Left hand Bat,Right arm Fast,Unknown
11389,D Ferreira,Right hand Bat,Right arm Offbreak,Wicketkeeper
11416,V Viyaskanth,Right hand Bat,Legbreak,Unknown
11799,V Puthur,Right hand Bat,Left arm Wrist spin,Unknown
11801,RD Rickelton,Left hand Bat,Unknown,Wicketkeeper
11843,V Nigam,Right hand Bat,Legbreak,Unknown
8805,Arjun Tendulkar,Left hand Bat,Left arm Medium fast, 
360,SN Thakur,Right hand Bat,Right arm Medium, 
36966,P Suyal,Right hand Bat,Left arm Medium, 
15108,MB Parmar,Right hand Bat,Right arm Offbreak, 
6694,R Powell,Right hand Bat,Right arm Medium fast, 
35364,AP Majumdar,Right hand Bat,Legbreak Googly, 
33919,Anand Rajan,Right hand Bat,Right arm Medium, 
2824,GC Viljoen,Right hand Bat,Right arm Fast, 
8773,Atharva Taide,Left hand Bat,Slow Left arm Orthodox, 
12065,Shoaib Malik,Right hand Bat,Right arm Offbreak, 
12070,Mohammad Asif,Left hand Bat,Right arm Fast medium, 
23,PA Patel,Left hand Bat,Right arm Offbreak,Wicketkeeper
8809,Noor Ahmad,Right hand Bat,Left arm Wrist spin, 
6310,TL Seifert,Right hand Bat, ,Wicketkeeper
38229,Shivam Sharma,Right hand Bat,Right arm Offbreak, 
5349,RM Patidar,Right hand Bat,Right arm Offbreak, 
12669,LA Pomersbach,Left hand Bat,Right arm Offbreak, 
39089,RG More,Right hand Bat,Right arm Medium, 
7652,Simarjeet Singh,Right hand Bat,Right arm Medium fast, 
2227,MM Ali,Left hand Bat,Right arm Offbreak, 
12364,DB Ravi Teja,Right hand Bat,Legbreak Googly, 
491,Mohammad Nabi,Right hand Bat,Right arm Offbreak, 
569,JP Faulkner,Right hand Bat,Left arm Fast medium, 
241,VR Aaron,Right hand Bat,Right arm Fast, 
15368,B Sumanth,Right hand Bat,Right arm Medium fast, 
8005,PH Solanki,Right hand Bat,Legbreak, 
5686,KW Richardson,Right hand Bat,Right arm Fast medium, 
35,MA Agarwal,Right hand Bat,Right arm Offbreak, 
